E0421 05:40:25.086595       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0421 05:40:25.086646       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
E0421 05:40:25.086699       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp94s0/speed: invalid argument
I0421 05:40:25.124429       1 nfd-worker.go:459] starting feature discovery...
I0421 05:40:25.124794       1 nfd-worker.go:471] feature discovery completed
I0421 05:41:25.407813       1 local.go:115] starting hooks...
E0421 05:41:25.411136       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0421 05:41:25.411186       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0421 05:41:25.411227       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0421 05:41:25.411276       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx32ebd410c63b/speed: invalid argument
E0421 05:41:25.411312       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0421 05:41:25.411356       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0421 05:41:25.411401       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0421 05:41:25.411446       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0421 05:41:25.411730       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0421 05:41:25.412030       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0421 05:41:25.412084       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0421 05:41:25.412141       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0421 05:41:25.412604       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
E0421 05:41:25.412717       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp94s0/speed: invalid argument
I0421 05:41:25.456016       1 nfd-worker.go:459] starting feature discovery...
I0421 05:41:25.456426       1 nfd-worker.go:471] feature discovery completed
I0421 05:42:25.588855       1 local.go:115] starting hooks...
E0421 05:42:25.591794       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0421 05:42:25.591960       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0421 05:42:25.592071       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0421 05:42:25.592162       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx32ebd410c63b/speed: invalid argument
E0421 05:42:25.592250       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0421 05:42:25.592338       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0421 05:42:25.592474       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0421 05:42:25.592574       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0421 05:42:25.592675       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0421 05:42:25.592756       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0421 05:42:25.592844       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0421 05:42:25.592931       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
