NAMESPACE                        NAME                                                              READY   STATUS                     RESTARTS         AGE     IP               NODE              NOMINATED NODE   READINESS GATES
s-jain-training-5                ml-pipeline-visualizationserver-6659778c46-g9chx                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.239   jain-dgx-server   <none>           <none>
s-jain-training-6                ml-pipeline-ui-artifact-fb8c99584-2qrst                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.223   jain-dgx-server   <none>           <none>
s-jain-training-6                ml-pipeline-visualizationserver-6659778c46-xh8hd                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.120.61    jain-dgx-server   <none>           <none>
s-jain-training-6                test-triton-server-0                                              2/2     Running                    0                101m    10.233.120.1     jain-dgx-server   <none>           <none>
s-jain-training-7                ml-pipeline-ui-artifact-fb8c99584-zn7pc                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.170   jain-dgx-server   <none>           <none>
s-jain-training-7                ml-pipeline-visualizationserver-6659778c46-9sxc4                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.182   jain-dgx-server   <none>           <none>
s-jain-training-7                test4-0                                                           2/2     Running                    0                101m    10.233.120.15    jain-dgx-server   <none>           <none>
s-jain-training-8                ml-pipeline-ui-artifact-fb8c99584-6mpcr                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.153   jain-dgx-server   <none>           <none>
s-jain-training-8                ml-pipeline-visualizationserver-6659778c46-wdq44                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.238   jain-dgx-server   <none>           <none>
s-jain-training-9                ml-pipeline-ui-artifact-fb8c99584-lmg7n                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.232   jain-dgx-server   <none>           <none>
s-jain-training-9                ml-pipeline-visualizationserver-6659778c46-kv2cq                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.206   jain-dgx-server   <none>           <none>
